Observatoire des territoires; ; 
Référentiel géographique : Communes (2019); ; 
Code;Libellé;Nombre d'emplois au lieu de travail 2016
01001;L'Abergement-Clémenciat;92
01002;L'Abergement-de-Varey;14
01004;Ambérieu-en-Bugey;7504
01005;Ambérieux-en-Dombes;301
01006;Ambléon;6
01007;Ambronay;503
01008;Ambutrix;145
01009;Andert-et-Condon;23
01010;Anglefort;266
01011;Apremont;25
01012;Aranc;61
01013;Arandas;20
01014;Arbent;2153
01015;Arboys en Bugey;55
01016;Arbigny;40
01017;Argis;39
01019;Armix;3
01021;Ars-sur-Formans;199
01022;Artemare;340
01023;Asnières-sur-Saône;8
01024;Attignat;910
01025;Bâgé-Dommartin;603
01026;Bâgé-le-Châtel;283
01027;Balan;2142
01028;Baneins;66
01029;Beaupont;185
01030;Beauregard;71
01031;Bellignat;2181
01032;Béligneux;1391
01033;Valserhône;5671
01034;Belley;5789
01035;Belleydoux;33
01036;Valromey-sur-Séran;127
01037;Bénonces;120
01038;Bény;105
01039;Béon;74
01040;Béréziat;59
01041;Bettant;42
01042;Bey;26
01043;Beynost;3164
01044;Billiat;60
01045;Birieux;53
01046;Biziat;107
01047;Blyes;939
01049;La Boisse;941
01050;Boissey;29
01051;Bolozon;9
01052;Bouligneux;53
01053;Bourg-en-Bresse;31442
01054;Bourg-Saint-Christophe;85
01056;Boyeux-Saint-Jérôme;51
01057;Boz;87
01058;Brégnier-Cordon;279
01060;Brénod;104
01061;Brens;86
01062;Bressolles;197
01063;Brion;400
01064;Briord;538
01065;Buellas;191
01066;La Burbanche;7
01067;Ceignes;96
01068;Cerdon;152
01069;Certines;332
01071;Cessy;917
01072;Ceyzériat;1078
01073;Ceyzérieu;104
01074;Chalamont;642
01075;Chaleins;476
01076;Chaley;20
01077;Challes-la-Montagne;22
01078;Challex;161
01079;Champagne-en-Valromey;348
01080;Champdor-Corcelles;100
01081;Champfromier;458
01082;Chanay;178
01083;Chaneins;167
01084;Chanoz-Châtenay;86
01085;La Chapelle-du-Châtelard;55
01087;Charix;29
01088;Charnoz-sur-Ain;224
01089;Château-Gaillard;719
01090;Châtenay;57
01092;Châtillon-la-Palud;214
01093;Châtillon-sur-Chalaronne;2839
01094;Chavannes-sur-Reyssouze;83
01095;Nivigne et Suran;106
01096;Chaveyriat;154
01098;Chazey-Bons;436
01099;Chazey-sur-Ain;312
01100;Cheignieu-la-Balme;11
01101;Chevillard;23
01102;Chevroux;120
01103;Chevry;117
01104;Chézery-Forens;94
01105;Civrieux;428
01106;Cize;15
01107;Cleyzieu;7
01108;Coligny;299
01109;Collonges;226
01110;Colomieu;22
01111;Conand;11
01112;Condamine;102
01113;Condeissiat;132
01114;Confort;196
01115;Confrançon;246
01116;Contrevoz;43
01117;Conzieu;8
01118;Corbonod;266
01121;Corlier;21
01123;Cormoranche-sur-Saône;192
01124;Cormoz;67
01125;Corveissiat;141
01127;Courmangoux;33
01128;Courtes;93
01129;Crans;29
01130;Bresse Vallons ;432
01133;Cressin-Rochefort;29
01134;Crottet;492
01135;Crozet;389
01136;Cruzilles-lès-Mépillat;54
01138;Culoz;1802
01139;Curciat-Dongalon;95
01140;Curtafond;104
01141;Cuzieu;21
01142;Dagneux;2550
01143;Divonne-les-Bains;2215
01145;Dompierre-sur-Veyle;165
01146;Dompierre-sur-Chalaronne;35
01147;Domsure;78
01148;Dortan;285
01149;Douvres;63
01150;Drom;35
01151;Druillat;108
01152;Échallon;75
01153;Échenevex;181
01155;Évosges;20
01156;Faramans;91
01157;Fareins;463
01158;Farges;48
01159;Feillens;1527
01160;Ferney-Voltaire;3626
01162;Flaxieu;11
01163;Foissiat;304
01165;Francheleins;155
01166;Frans;326
01167;Garnerans;44
01169;Genouilleux;45
01170;Béard-Géovreissiat;175
01171;Géovreisset;128
01173;Gex;2872
01174;Giron;39
01175;Gorrevod;197
01177;Grand-Corent;9
01179;Grièges;517
01180;Grilly;114
01181;Groissiat;860
01183;Guéreins;489
01184;Hautecourt-Romanèche;87
01185;Plateau d’Hauteville ;2226
01187;Haut Valromey;258
01188;Illiat;80
01189;Injoux-Génissiat;163
01190;Innimond;16
01191;Izenave;27
01192;Izernore;1616
01193;Izieu;28
01194;Jassans-Riottier;1547
01195;Jasseron;491
01196;Jayat;291
01197;Journans;37
01198;Joyeux;42
01199;Jujurieux;468
01200;Labalme;27
01202;Lagnieu;2326
01203;Laiz;413
01204;Le Poizat-Lalleyriat;69
01206;Lantenay;25
01207;Lapeyrouse;62
01208;Lavours;9
01209;Léaz;39
01210;Lélex;151
01211;Lent;216
01212;Lescheroux;109
01213;Leyment;313
01214;Leyssard;13
01215;Surjoux-Lhopital ;21
01216;Lhuis;260
01219;Lompnas;28
01224;Loyettes;858
01225;Lurcy;20
01227;Magnieu ;64
01228;Maillat;308
01229;Malafretaz;141
01230;Mantenay-Montlin;63
01231;Manziat;617
01232;Marboz;492
01233;Marchamp;14
01234;Marignieu;46
01235;Marlieux;184
01236;Marsonnas;90
01237;Martignat;772
01238;Massieux;698
01239;Massignieu-de-Rives;62
01240;Matafelon-Granges;64
01241;Meillonnas;269
01242;Mérignat;24
01243;Messimy-sur-Saône;122
01244;Meximieux;2434
01245;Bohas-Meyriat-Rignat;75
01246;Mézériat;343
01247;Mijoux;153
01248;Mionnay;347
01249;Miribel;5210
01250;Misérieux;301
01252;Mogneneins;70
01254;Montagnat;527
01255;Montagnieu;59
01257;Montanges;50
01258;Montceaux;224
01259;Montcet;46
01260;Le Montellier;44
01261;Monthieux;119
01262;Montluel;2982
01263;Montmerle-sur-Saône;938
01264;Montracol;105
01265;Montréal-la-Cluse;1851
01266;Montrevel-en-Bresse;1231
01267;Nurieux-Volognat;437
01268;Murs-et-Gélignieux;35
01269;Nantua;1284
01272;Neuville-les-Dames;320
01273;Neuville-sur-Ain;300
01274;Les Neyrolles;124
01275;Neyron;1140
01276;Niévroz;259
01277;Nivollet-Montgriffon;8
01279;Oncieu;10
01280;Ordonnaz;21
01281;Ornex;569
01282;Outriaz;158
01283;Oyonnax;10438
01284;Ozan;171
01285;Parcieux;167
01286;Parves et Nattages;68
01288;Péron;361
01289;Péronnas;2600
01290;Pérouges;253
01291;Perrex;184
01293;Peyriat;15
01294;Peyrieu;212
01295;Peyzieux-sur-Saône;57
01296;Pirajoux;39
01297;Pizay;75
01298;Plagne;5
01299;Le Plantay;73
01301;Polliat;469
01302;Pollieu;15
01303;Poncin;645
01304;Pont-d'Ain;939
01305;Pont-de-Vaux;1397
01306;Pont-de-Veyle;652
01307;Port;467
01308;Pougny;60
01309;Pouillat;9
01310;Prémeyzel;127
01311;Prémillieu;8
01313;Prévessin-Moëns;1382
01314;Priay;313
01317;Ramasse;14
01318;Rancé;89
01319;Relevant;58
01320;Replonges;1478
01321;Revonnas;50
01322;Reyrieux;2095
01323;Reyssouze;132
01325;Rignieux-le-Franc;101
01328;Romans;212
01329;Rossillon;15
01330;Ruffieu;30
01331;Saint-Alban;29
01332;Saint-André-de-Bâgé;118
01333;Saint-André-de-Corcy;1153
01334;Saint-André-d'Huiriat;56
01335;Saint-André-le-Bouchoux;61
01336;Saint-André-sur-Vieux-Jonc;243
01337;Saint-Bénigne;249
01338;Groslée-Saint-Benoit;278
01339;Saint-Bernard;180
01342;Sainte-Croix;94
01343;Saint-Cyr-sur-Menthon;876
01344;Saint-Denis-lès-Bourg;1350
01345;Saint-Denis-en-Bugey;259
01346;Saint-Didier-d'Aussiat;106
01347;Saint-Didier-de-Formans;216
01348;Saint-Didier-sur-Chalaronne;911
01349;Saint-Éloi;41
01350;Saint-Étienne-du-Bois;612
01351;Saint-Étienne-sur-Chalaronne;175
01352;Saint-Étienne-sur-Reyssouze;53
01353;Sainte-Euphémie;200
01354;Saint-Genis-Pouilly;3377
01355;Saint-Genis-sur-Menthon;48
01356;Saint-Georges-sur-Renon;9
01357;Saint-Germain-de-Joux;62
01358;Saint-Germain-les-Paroisses;52
01359;Saint-Germain-sur-Renon;27
01360;Saint-Jean-de-Gonville;282
01361;Saint-Jean-de-Niost;138
01362;Saint-Jean-de-Thurigneux;122
01363;Saint-Jean-le-Vieux;429
01364;Saint-Jean-sur-Reyssouze;129
01365;Saint-Jean-sur-Veyle;184
01366;Sainte-Julie;589
01367;Saint-Julien-sur-Reyssouze;161
01368;Saint-Julien-sur-Veyle;80
01369;Saint-Just;501
01370;Saint-Laurent-sur-Saône;461
01371;Saint-Marcel;111
01372;Saint-Martin-de-Bavel;75
01373;Saint-Martin-du-Frêne;407
01374;Saint-Martin-du-Mont;278
01375;Saint-Martin-le-Châtel;85
01376;Saint-Maurice-de-Beynost;2018
01378;Saint-Maurice-de-Gourdans;288
01379;Saint-Maurice-de-Rémens;86
01380;Saint-Nizier-le-Bouchoux;152
01381;Saint-Nizier-le-Désert;108
01382;Sainte-Olive;46
01383;Saint-Paul-de-Varax;389
01384;Saint-Rambert-en-Bugey;624
01385;Saint-Rémy;266
01386;Saint-Sorlin-en-Bugey;328
01387;Saint-Sulpice;18
01388;Saint-Trivier-de-Courtes;589
01389;Saint-Trivier-sur-Moignans;559
01390;Saint-Vulbas;7020
01391;Salavre;62
01392;Samognat;25
01393;Sandrans;75
01396;Sault-Brénaz;236
01397;Sauverny;79
01398;Savigneux;264
01399;Ségny;500
01400;Seillonnaz;19
01401;Sergy;134
01402;Sermoyer;60
01403;Serrières-de-Briord;219
01404;Serrières-sur-Ain;9
01405;Servas;618
01406;Servignat;16
01407;Seyssel;155
01408;Simandre-sur-Suran;209
01410;Sonthonnax-la-Montagne;27
01411;Souclin;10
01412;Sulignat;102
01415;Talissieu;86
01416;Tenay;188
01418;Thil;247
01419;Thoiry;1654
01420;Thoissey;666
01421;Torcieu;196
01422;Tossiat;524
01423;Toussieux;97
01424;Tramoyes;184
01425;La Tranclière;56
01426;Val-Revermont;754
01427;Trévoux;3862
01428;Valeins;11
01429;Vandeins;44
01430;Varambon;68
01431;Vaux-en-Bugey;262
01432;Verjon;20
01433;Vernoux;87
01434;Versailleux;53
01435;Versonnex;193
01436;Vesancy;44
01437;Vescours;15
01439;Vésines;33
01441;Vieu-d'Izenave;230
01443;Villars-les-Dombes;1766
01444;Villebois;120
01445;Villemotier;80
01446;Villeneuve;142
01447;Villereversure;392
01448;Villes;58
01449;Villette-sur-Ain;100
01450;Villieu-Loyes-Mollon;785
01451;Viriat;4930
01452;Virieu-le-Grand;263
01453;Arvière-en-Valromey;306
01454;Virignin;166
01456;Vongnes;17
01457;Vonnas;1181
02001;Abbécourt;80
02002;Achery;66
02003;Acy;120
02004;Agnicourt-et-Séchelles;30
02005;Aguilcourt;36
